log_TOT_POP,Percent of Population Aged 60+,PCTPOVALL_2018,MEDHHINC_2018,Unemployment_rate_2018,Urban_rural_code,Active Physicians per 100000 Population 2018 (AAMC)
9.808572294739841,22.5,13.1,52050,3.1,3,207.6
10.721636098258875,20.4,16.5,46512,3.5,5,207.6
9.987001152763945,23.8,20.6,38682,3.6,6,207.6
10.425312461760488,25.1,18.7,47205,3.8,5,207.6
9.498672233269462,23.4,17.3,40199,3.5,6,207.6
10.536858189059995,23.5,14.5,45596,4.1,5,207.6
9.517383797906584,31.3,18.7,37828,5.5,6,207.6
9.729848196125007,23.2,25.6,36573,6.2,6,207.6
11.128952732200162,21.8,22.2,38596,5.3,4,207.6
10.19402803583639,21.5,22.2,39381,4.5,6,207.6
8.80732226751107,29.7,22.8,35527,5.2,6,207.6
9.70716848609832,26.5,17.7,40308,3.9,6,207.6
9.103423089630105,23.8,43.0,28080,4.8,6,207.6
9.50181524266666,20.8,27.5,44951,4.3,4,207.6
9.41954725755152,26.2,16.0,43559,5.3,4,207.6
9.986817160123133,25.2,18.6,41471,4.0,6,207.6
11.207188037852,17.8,11.9,56651,3.2,3,207.6
9.710024155323328,24.5,18.4,42674,2.9,3,207.6
9.724540296381123,37.0,18.7,36581,4.1,6,207.6
10.682651865988806,22.4,21.9,42162,4.8,4,207.6
10.627163938130897,20.0,25.7,36718,5.7,5,207.6
8.839421607620602,30.4,26.0,32922,4.3,6,207.6
9.09661160664784,34.2,18.8,38318,4.8,6,207.6
9.02725852623582,25.0,21.3,37626,3.5,6,207.6
8.96264794774056,33.1,17.4,36078,3.4,5,207.6
10.069298557203092,25.4,23.3,37624,4.7,5,207.6
9.245031611766112,25.6,14.7,45342,4.2,3,207.6
9.799792316197363,23.7,35.4,29945,6.1,5,207.6
9.27556615689389,27.7,17.8,41534,4.2,6,207.6
10.084766899751639,24.0,23.7,37370,3.8,4,207.6
9.905984432734716,29.4,20.0,39048,4.2,6,207.6
11.06665398721974,20.1,16.0,45788,4.5,5,207.6
8.996528148090857,29.2,15.8,43245,3.9,6,207.6
12.880752856406048,20.1,16.7,49957,3.5,3,207.6
9.795289682058142,27.6,17.4,37799,4.0,6,207.6
10.144078017454058,20.2,35.6,33257,5.2,5,207.6
11.707027360299714,22.8,9.7,63677,3.1,3,207.6
9.241839039035554,24.6,20.2,35826,3.7,6,207.6
8.98205864280585,33.9,24.3,31659,4.3,6,207.6
11.757861818730365,21.0,15.6,46843,3.6,3,207.6
9.749170192151771,19.0,20.1,44100,4.7,6,207.6
9.762327132747114,32.2,20.7,36032,4.8,6,207.6
9.430118265814091,33.4,20.3,34009,4.5,6,207.6
10.574568044746826,24.2,18.2,45335,5.6,5,207.6
9.71739890917293,32.9,16.4,40486,5.3,6,207.6
12.375655069709087,15.5,15.2,50893,2.6,3,207.6
11.273754152578821,20.7,16.6,44811,4.4,5,207.6
8.778171881033469,29.2,23.7,34306,4.7,6,207.6
9.977481232444454,22.6,16.3,41729,4.2,5,207.6
14.326388580357433,18.4,9.0,101744,3.0,1,279.6
7.004881989712859,35.7,17.3,55384,4.6,6,279.6
10.581114921438036,34.8,11.8,58515,4.0,6,279.6
12.351284925186807,23.8,18.5,50945,5.0,4,279.6
10.727728782812129,35.2,12.1,62984,4.0,6,279.6
9.981744050501895,18.7,11.0,57249,12.9,6,279.6
13.955460308789279,20.6,7.8,101463,3.2,2,279.6
10.233833921427351,22.8,20.4,48518,5.5,5,279.6
12.158346664916506,27.0,8.1,81869,3.6,2,279.6
13.809895824809669,16.2,21.3,52318,7.5,3,279.6
10.241672607161016,21.5,15.4,47365,6.5,6,279.6
11.823156390386215,23.0,20.3,49471,3.6,5,279.6
12.110816464267902,17.1,21.4,46633,18.1,4,279.6
9.797460147890598,30.7,12.3,53793,3.9,6,279.6
13.706549122324608,14.9,20.5,51586,8.0,3,279.6
11.927462630573624,13.7,18.8,58255,7.7,4,279.6
11.07260490208959,29.8,18.4,45086,5.2,5,279.6
10.335367366815744,18.8,15.8,57705,4.8,5,279.6
16.12859226821346,17.8,14.2,67986,4.7,1,279.6
11.968278547132394,18.4,20.2,53632,7.0,4,279.6
12.467155319881,27.9,6.6,122933,2.4,2,279.6
9.768354878544631,35.7,14.9,51402,5.3,6,279.6
11.380616182407755,27.8,17.5,51386,3.9,5,279.6
12.523675105329161,15.1,21.2,56169,8.3,3,279.6
9.080003870248179,34.4,19.1,45227,7.5,6,279.6
9.564582358673212,19.4,9.3,66499,3.8,6,279.6
12.984468191554496,17.6,13.3,69665,6.3,3,279.6
11.84523189379333,23.9,8.8,85624,2.9,4,279.6
11.509890865226396,34.0,10.3,66681,3.5,5,279.6
14.974267039335741,19.0,10.5,89373,2.9,1,279.6
12.881946497419662,24.6,7.1,89175,3.2,2,279.6
9.841878070904437,37.0,12.5,55079,7.5,6,279.6
14.71190833046243,18.6,12.7,66793,4.4,1,279.6
14.247926539878572,18.7,14.3,69475,3.8,1,279.6
11.027410149160403,17.2,8.6,80063,5.1,2,279.6
14.590976622971581,15.6,14.9,63310,4.0,2,279.6
15.022488342810398,18.4,11.5,78777,3.3,1,279.6
13.691426965419312,20.7,10.1,110601,2.4,1,279.6
13.531370206208756,17.1,14.3,63567,6.0,3,279.6
12.556768248787629,25.0,12.7,70626,2.9,3,279.6
13.553556009551697,21.2,6.8,122930,2.2,2,279.6
13.00925738729891,19.6,12.6,75646,3.9,3,279.6
14.476945684699512,17.7,7.3,125933,2.6,1,279.6
12.521817255746837,20.9,12.2,84213,4.9,3,279.6
12.100939881712705,26.8,15.2,53908,4.9,4,279.6
8.002359546252707,34.2,13.3,52308,6.0,6,279.6
10.685675299886803,32.2,17.1,47560,6.7,6,279.6
13.00944324862674,20.7,7.9,82808,3.9,3,279.6
13.122249370905834,24.8,9.9,81002,2.7,3,279.6
13.217338955781294,17.3,15.6,59616,6.4,3,279.6
11.480484914477888,20.1,13.5,57879,7.5,4,279.6
11.065340645671654,25.1,17.0,47572,5.7,5,279.6
9.436359784035856,36.3,21.6,40680,5.7,6,279.6
13.051644731911406,15.1,22.2,48763,9.6,3,279.6
10.90668965639958,33.3,12.5,56500,4.6,5,279.6
13.654129804028296,19.8,9.1,84170,3.8,3,279.6
12.303240190272913,16.5,20.1,67804,4.2,2,279.6
11.265002422291795,16.5,17.2,47504,6.4,4,279.6
13.14582401190905,14.3,9.2,70199,3.5,2,285.7
9.722205455316836,18.1,19.1,42897,4.2,6,285.7
13.386596663393199,17.8,8.1,76665,3.2,2,285.7
9.52995706295831,34.0,11.2,53337,3.4,6,285.7
8.184792654165078,32.9,19.4,38294,1.8,6,285.7
8.679822114864455,22.3,33.9,37659,3.2,6,285.7
12.694894962279704,18.8,9.7,83591,2.8,3,285.7
11.145738318072041,17.5,4.9,96924,2.9,2,285.7
9.904886573449835,33.5,10.9,56168,2.7,6,285.7
7.537430036586509,17.9,12.6,54504,1.8,6,285.7
9.17014318222477,26.5,7.2,74019,3.0,2,285.7
9.012011377036412,25.0,21.4,38777,4.4,6,285.7
8.250358951477294,35.1,25.2,31557,4.3,6,285.7
8.675734219544788,19.5,44.3,35880,4.4,6,285.7
8.508152446764088,46.4,12.0,55242,3.7,6,285.7
10.340257510472705,32.3,14.6,46786,3.9,6,285.7
13.482123756488752,16.1,11.7,68069,3.2,1,285.7
7.637716432664798,30.9,12.8,47482,2.8,6,285.7
12.744835368939071,15.6,2.6,120670,2.9,2,285.7
10.914979367354672,15.1,6.7,86896,2.7,5,285.7
10.176677621334473,22.8,5.0,98247,2.8,2,285.7
13.478437941150936,17.2,9.9,67923,3.9,3,285.7
10.779414518220722,27.1,16.5,47885,5.2,5,285.7
10.998275872479747,17.6,8.4,74421,3.2,5,285.7
8.719644119505357,27.3,6.7,72949,2.5,2,285.7
9.650271316965625,26.1,7.9,69214,2.7,6,285.7
9.7553934942914,17.9,10.4,61268,2.6,6,285.7
6.699500340161678,40.1,8.6,62149,2.6,6,285.7
8.837826364007704,39.5,21.7,38242,6.5,6,285.7
7.24422751560335,29.0,13.4,51457,2.6,6,285.7
13.271186749435092,22.1,7.0,85550,3.0,2,285.7
7.232733136177615,27.0,13.8,44704,1.8,6,285.7
8.876823763180603,23.9,12.6,48342,2.0,6,285.7
8.965079015408355,19.2,12.6,51802,2.6,6,285.7
10.938645176925998,22.9,9.2,66219,3.0,5,285.7
12.76717019226146,20.3,10.5,71306,2.8,3,285.7
9.582179752434687,30.4,19.2,41485,4.7,6,285.7
8.632484235750972,21.7,16.2,46690,2.4,6,285.7
9.977156142461329,23.1,14.5,53168,2.9,5,285.7
11.939551754246395,24.0,14.4,51132,4.1,4,285.7
6.655440350367647,47.2,9.3,60210,2.6,6,285.7
9.487138427825885,21.3,12.3,59500,3.7,5,285.7
10.171948578540798,28.3,16.3,50180,4.7,6,285.7
10.650530887103601,29.4,11.6,52576,3.7,5,285.7
10.259727401834914,21.5,12.2,55387,2.9,5,285.7
9.821897815496174,26.3,20.8,40064,5.0,6,285.7
8.483429561263428,39.0,7.5,68900,3.5,6,285.7
9.828602355344339,27.9,8.1,72121,2.9,2,285.7
8.363342466597977,24.0,10.8,52367,1.9,6,285.7
9.79540110267107,24.9,6.8,89034,3.8,5,285.7
9.406318255217624,23.5,21.6,42455,3.3,6,285.7
12.028917718687579,24.1,17.2,48308,4.9,4,285.7
8.754160749323518,20.8,10.8,63411,4.4,6,285.7
9.328212292571072,25.0,14.5,44171,4.8,6,285.7
10.155568353744936,20.2,7.0,81033,2.7,5,285.7
8.831127635012084,30.2,24.6,36869,4.6,6,285.7
6.637258031284457,28.8,14.4,46878,3.1,6,285.7
9.010913347279288,18.9,8.6,69458,3.5,6,285.7
7.742402021815782,32.7,14.9,40009,2.6,6,285.7
10.342000514690493,19.1,6.7,80078,2.2,5,285.7
10.129985471662911,28.4,7.4,64850,3.7,3,285.7
8.499029220788566,26.7,13.7,47869,2.4,6,285.7
12.658122312644808,16.9,10.5,75629,3.0,3,285.7
9.212438170058329,23.6,12.1,53253,2.0,6,285.7
13.757694987067447,20.8,10.0,91183,4.0,3,352.1
13.702003616770634,22.4,11.2,73037,4.2,1,352.1
12.106870903410142,27.2,6.9,76304,3.8,5,352.1
11.99955880096251,25.2,6.7,88709,3.5,2,352.1
13.661917555939173,22.6,11.6,67720,4.4,3,352.1
12.49419836955404,23.4,9.8,67790,4.0,3,352.1
11.924518426044507,20.8,8.0,89584,3.6,2,352.1
11.670168501387646,21.8,11.7,65182,4.5,3,352.1
12.092629553678991,21.3,13.8,54980,4.1,4,284.6
13.234505644910266,20.2,11.6,69562,3.7,2,284.6
12.342729772951854,33.3,12.3,59821,3.7,3,284.6
13.462338044776525,16.8,16.1,82533,5.6,1,847.0
12.50601796603815,18.4,19.8,51026,3.3,3,265.2
10.252593926974908,19.5,15.4,52804,3.4,2,265.2
12.129666650327549,22.3,13.4,51777,4.0,4,265.2
10.23037831883819,23.9,19.5,45075,3.3,6,265.2
13.299421104523184,30.1,11.0,57612,3.5,3,265.2
14.483986388207803,21.5,12.6,57200,3.4,2,265.2
9.58795455192857,24.1,21.3,38323,4.1,6,265.2
12.128105698640447,46.9,11.1,52724,4.0,4,265.2
11.904494467886282,43.6,15.2,41556,5.2,4,265.2
12.283371592532648,20.4,8.8,62835,3.3,2,265.2
12.843942289350144,37.0,10.6,70649,3.4,3,265.2
11.163424724779496,24.9,17.3,46195,3.7,5,265.2
10.531829509729958,27.3,26.1,37233,3.8,5,265.2
9.723223876851618,31.1,24.7,37148,4.2,6,265.2
13.764408824175188,18.8,14.5,55733,3.6,1,265.2
12.662024889834342,22.0,14.7,50644,3.5,3,265.2
11.626861108897717,36.8,10.3,58975,4.0,3,265.2
9.370501524100124,26.8,22.8,40297,3.5,6,265.2
10.734111457653192,23.6,23.6,42259,4.6,3,265.2
9.81230384711351,26.5,16.8,42186,3.8,3,265.2
9.526974266377731,31.5,20.1,38680,4.0,6,265.2
9.690603690159534,24.7,20.3,45426,4.4,4,265.2
9.568783751310876,22.8,27.6,36299,4.2,6,265.2
10.212662000326006,20.2,27.0,39169,5.3,5,265.2
10.634821257814647,17.4,24.0,44391,6.1,5,265.2
12.159326890132263,34.5,14.1,45884,4.5,2,265.2
11.56575507861476,41.3,20.8,39994,4.8,4,265.2
14.177990917818798,19.0,14.7,58361,3.4,1,265.2
9.877040902521145,25.6,23.9,38040,4.0,6,265.2
11.96663455637217,38.7,10.7,58228,4.3,4,265.2
10.785311055528036,24.8,23.5,39545,4.0,6,265.2
9.56724528946897,30.7,17.9,46332,3.7,3,265.2
9.074864232413733,19.2,21.0,42689,3.2,6,265.2
12.784078298577187,32.9,11.5,52447,3.5,2,265.2
13.533957663665575,34.2,12.1,56343,3.4,3,265.2
12.586230202011707,17.2,20.7,51046,3.3,3,265.2
10.615726323351593,31.3,16.1,39037,3.8,6,265.2
9.042868018032435,19.4,23.8,40814,3.8,6,265.2
9.827146319279406,25.8,22.8,38249,3.9,6,265.2
12.88627642045419,33.2,10.4,59587,3.4,3,265.2
12.793798197453821,34.7,15.1,44517,4.3,3,265.2
11.988619125241863,37.2,10.7,61592,3.5,3,265.2
14.831314261889402,20.9,16.0,52043,3.9,1,265.2
11.225616656180232,29.1,12.0,67094,2.6,5,265.2
11.360158826915132,27.9,10.4,66898,3.2,2,265.2
12.24177757015095,21.1,12.7,62779,2.9,4,265.2
10.63436394990608,25.4,21.5,42258,3.7,5,265.2
14.13806206354333,16.0,15.6,58037,3.2,1,265.2
12.815813760330263,17.5,13.4,50473,3.6,2,265.2
14.211559472542529,29.1,12.2,61735,3.6,2,265.2
13.198640851628488,28.7,12.6,53788,3.8,2,265.2
13.79048091358507,30.9,11.7,52226,3.3,1,265.2
13.470213496869896,26.0,15.7,51354,4.1,3,265.2
11.214034136217744,29.2,18.8,39578,4.8,5,265.2
12.44612051043715,25.2,6.6,81925,2.9,2,265.2
12.679598190543249,29.3,12.1,53377,4.4,3,265.2
12.09709448296043,20.6,9.5,69541,3.3,3,265.2
12.963880995956027,43.0,10.3,61652,3.4,3,265.2
13.055866673611257,20.7,9.9,67187,3.2,2,265.2
11.765666652723382,64.2,9.3,55324,5.1,4,265.2
10.69629905620902,26.5,19.3,38525,3.7,6,265.2
9.981559087956283,26.1,21.6,42307,3.8,6,265.2
9.611864390851085,20.9,20.6,45906,3.4,6,265.2
13.213188971012565,31.0,13.2,50285,3.7,3,265.2
10.387825453465016,20.0,11.9,58203,3.1,3,265.2
11.175716957368046,26.2,11.4,60973,3.1,4,265.2
10.121859738971446,22.7,22.8,39225,3.8,6,265.2
9.825958350026891,22.8,21.9,42781,4.3,6,228.7
9.023769800892813,17.5,26.1,36779,3.5,6,228.7
9.322418275381533,20.6,22.8,38775,3.8,6,228.7
8.03689677268507,28.3,22.9,38288,5.1,4,228.7
10.71049898924512,20.4,23.8,42727,5.0,5,228.7
9.851615143125416,22.9,13.0,55384,3.1,6,228.7
11.299855999227493,16.6,9.5,61413,3.3,2,228.7
11.575045438778613,17.9,12.2,57409,3.8,2,228.7
9.728419624453482,23.1,26.2,35020,5.9,5,228.7
9.865422171729335,22.4,21.8,39412,4.2,6,228.7
11.938820454589901,20.8,24.7,41390,4.5,4,228.7
9.460242692591084,22.4,18.7,46019,5.7,6,228.7
9.846811375342572,20.6,18.3,41874,4.5,4,228.7
9.649498121050817,26.2,24.5,36354,3.9,4,228.7
10.548231993867907,14.3,8.6,79658,3.4,3,228.7
11.255410423990568,15.5,22.9,43766,4.2,5,228.7
10.017887092844624,20.0,22.0,42785,6.0,3,228.7
10.093859947519794,20.4,19.7,48831,4.0,2,228.7
8.756682421266532,20.9,37.2,33393,4.3,6,228.7
10.89075851312733,16.3,15.8,56555,4.2,5,228.7
9.290721483922995,22.7,24.6,35841,3.4,6,228.7
11.679473267648142,17.8,16.8,52502,4.0,2,228.7
11.118711821072,22.4,11.9,55807,3.4,3,228.7
9.470317173335742,19.1,25.6,40499,4.3,6,228.7
12.57485993791245,19.6,14.4,54165,3.7,3,228.7
9.276596167753247,5.8,17.3,46869,5.6,3,228.7
10.118235963061956,22.9,19.5,39513,4.1,5,228.7
12.44567992287505,17.9,7.4,82733,3.1,2,228.7
11.754545274145375,14.0,27.0,42112,4.0,4,228.7
7.968319500012717,31.0,29.8,30239,7.7,6,228.7
12.576311186586334,13.5,17.6,46059,4.9,2,228.7
8.802221746402456,21.6,25.8,37593,4.6,6,228.7
13.536941502219621,16.3,9.1,78603,3.4,2,228.7
10.67113905526418,18.3,23.9,39480,4.5,5,228.7
10.72750947494687,19.4,23.9,38633,3.8,5,228.7
11.946602189955948,18.2,7.1,82184,3.5,3,228.7
9.750511182936638,20.5,24.5,38827,3.8,6,228.7
11.890436815396741,18.3,10.2,70974,3.4,2,228.7
9.418898064961974,22.6,18.5,48004,4.2,4,228.7
10.025793676920095,23.2,27.4,36096,4.9,5,228.7
9.694431800539537,25.1,13.6,48779,3.6,3,228.7
10.129985471662911,26.5,8.7,68835,3.3,2,228.7
10.187763831853076,21.6,23.2,38441,4.7,5,228.7
13.536535799916289,16.5,14.3,63477,4.0,2,228.7
9.938178792326058,22.4,26.5,35636,5.2,6,228.7
9.525661930231381,25.1,29.1,37278,4.6,6,228.7
11.421292515858228,20.8,29.5,38806,5.1,4,228.7
11.886776059309051,15.7,12.6,60512,4.1,2,228.7
9.234837843576571,26.3,26.5,34984,4.6,6,228.7
8.294299608857235,17.0,24.4,38667,3.2,4,228.7
11.037965573724245,15.9,8.3,65793,3.3,3,228.7
9.85854248649296,26.4,18.5,39681,4.8,6,228.7
10.026280241122993,21.3,25.1,37574,5.9,6,228.7
9.280052984387483,21.0,26.6,37319,3.7,6,228.7
10.164504756278419,35.9,16.8,43439,3.9,6,228.7
11.639205630880559,22.9,5.0,95021,3.5,2,228.7
11.491987793755348,21.7,20.7,44906,4.3,4,228.7
12.374181174071945,15.7,5.0,105921,3.1,2,228.7
10.044292429127148,25.5,16.4,42904,3.8,6,228.7
13.864410239945935,15.8,13.5,70808,4.0,1,228.7
10.335821764746314,31.0,17.4,47757,4.2,6,228.7
8.005033344637111,23.6,17.5,42820,4.2,6,228.7
11.352991427053903,24.8,16.6,53906,3.7,4,228.7
10.962769788740298,19.4,16.8,49101,3.8,5,228.7
10.116540363140167,22.3,20.0,41002,3.9,6,228.7
9.781263419790754,36.1,19.3,54016,4.2,6,228.7
13.740552070378667,13.8,9.2,72008,3.5,2,228.7
10.723025063923394,24.3,14.9,51829,3.7,5,228.7
12.216760328235015,19.1,13.2,61631,3.2,4,228.7
9.029897050194,28.1,30.7,31716,6.0,5,228.7
10.293297421033719,22.1,15.9,47662,3.9,2,228.7
10.44801870876729,23.9,8.7,74686,3.4,3,228.7
10.169690593310785,27.5,15.0,47171,3.6,6,228.7
9.382611592916636,23.2,17.1,46218,3.9,2,228.7
12.34679499613089,15.7,7.5,72970,4.1,2,228.7
11.954208065943787,17.0,12.1,60728,4.0,4,228.7
9.148358579620302,23.4,24.3,38156,5.6,6,228.7
11.16227519333528,19.9,8.7,68984,3.0,5,228.7
9.549736900114642,22.7,15.4,51241,3.5,2,228.7
9.61780348274702,21.5,20.6,37211,4.9,6,228.7
9.644133752071205,24.0,22.3,38274,5.3,6,228.7
9.069237530998182,22.9,31.8,31419,5.4,6,228.7
9.180808569370145,23.8,30.0,34849,4.0,5,228.7
10.261756225813318,22.2,14.5,55737,3.7,4,228.7
9.852246888342531,21.6,17.3,48323,4.6,2,228.7
9.243871855184976,19.0,20.3,41564,4.4,4,228.7
10.764815106334996,22.4,24.6,42114,4.8,5,228.7
10.30108848558749,17.0,12.4,66090,3.6,4,228.7
